,title,authors,categories,description,average_rating,ratings_count
1905,no dominion,Charlie Huston,Fiction,"Joe Pitt’s life sucks. He hasn’t had a case or a job in God knows how long and his stashes are running on empty. What stashes? The only ones that count to a guy like Joe: blood and money. The money he uses to buy blood; the blood he drinks. Hey, buddy, it’s that or your neck–you want to choose? The only way to lay his hands on both is to take a gig with the local Vampyre Clan. See, something new is on the streets, a new high, a high so strong it can send a Vampyre spazzing through Joe’s local watering hole. Till Joe sends him through a plate-glass window, that is. So it’s time for Joe to gut up and swallow that pride and follow the leads wherever they go. It won’t be long before he’s slapping stoolies, getting sapped, and being taken for a ride above 110th Street. Someone’s pulling Joe’s strings, and now he’s riding the A train, looking to find who it is. He’s gonna cut them when he finds them–the strings and the hands that hold them.",3.99,4599.0
1906,a slipping-down life,Anne Tyler,Fiction,The story of a Baltimore family and the girl who drifts into their lives.,3.6,3261.0
1907,trump,Donald Trump,Biography & Autobiography,An overview of a week in the entrepreneur's life and opinions on everything from football to New York mayors accompany stories of Trump's best real estate deals and a discussion of the deal maker's art. Reprint.,3.65,11727.0
1908,ego & hubris,Harvey Pekar,Biography & Autobiography,"Michael Malice has had an unconventional childhood and, despite his high intelligence, finds himself in a series of dead-end jobs, until he meets the author who gives him the confidence to find a job which utilizes his creative talents.",3.65,376.0
1909,inferno,Alex Irvine;Bob Kane,Comics & Graphic Novels,"As a mad arsonist known as an Enfer scheme terrorizes the inhabitants of Gotham City, a fire at Arkham Asylum is engineered to provide an escape opportunity for its most infamous inmate, the Joker, who comes up with a scheme to launch the ultimate crime wave, disguised as the Caped Crusader himself. Original.",3.6,324.0
1910,until i find you,John Irving,Fiction,"Chronicles the life and times of actor Jack Burns, whose unique bond with his mother, Alice, a Toronto tattoo artist, and their search for his missing father, William, shapes his relationships with women and his Hollywood career.",3.63,22066.0
1911,the coal tattoo,Silas House,Fiction,"Left to raise themselves in a small coal-mining town in Tennessee, Anneth and Easter, two very different sisters--one destined for the glittering world of Nashville, the other a devout Pentecostal--struggle to come to terms with the death of their mother as their long and difficult journey brings them back to their origins and to each other. By the author of Clay's Quilt. Reader's Guide included. Reprint. 30,000 first printing.",4.04,1704.0
1912,throne of jade,Naomi Novik,Fiction,"British naval officer Will Laurence's partnership with Temeraire, a rare Chinese imperial dragon, is threatened when Temeraire is summoned to the imperial court by the powerful Chinese emperor, who had intended the dragon to be a gift for Napoleon Bonaparte, not the companion of a lowly English pilot. Original.",3.9,27547.0
1913,a dangerous man,Charlie Huston,Fiction,"Reluctant hitman Henry Thompson returns to New York City, the scene of his original mishaps, when he takes an assignment as the new bodyguard for rising baseball star Miguel Arenas, a mission that is complicated by a threat against his parents' lives, a threat that forces Henry to make a desperate and final choice. By the author of Caught Stealing and Six Bad Things. Original. 25,000 first printing.",4.07,2681.0
1914,enchantment,Orson Scott Card,Fiction,"Follows one man from ninth-century Russia to present-day America as he struggles to rescue a princess and her kingdom, find true love, and overcome the blackest of evil.",3.9,23134.0
1915,how to be lost,Amanda Eyre Ward,Fiction,"The perfect lives of the affluent Winters family--father, mother, and three beautiful daughters--begin to unravel when their five-year-old daughter, Ellie, mysteriously vanishes, but fifteen years later, Caroline, Ellie's older sister, driven by the discovery of a photograph in People magazine, embarks for a search for her long-lost sister. By the author of Sleep Toward Heaven. Reader's Guide included. Reprint. 30,000 first printing.",3.54,6074.0
1916,queen of the underworld,Gail Godwin,Fiction,"In 1959, as the first wave of Cuban exiles arrives in the United States, Emma Gant, finally free of her stifling family and bullying stepfather, embarks on a career as a reporter for The Miami Star and begins to thrive in the sultry world of Miami, confronting conflicting loyalties, shady dealings, and personal and professional setbacks as she pursues her goals. Reader's Guide included. Reprint. 30,000 first printing.",2.89,529.0
1917,jarka ruus,Terry Brooks,Fiction,"Twenty years after Grianne Ohmsford abandoned her life as the evil Ilse Witch to lead the Druid Council protecting the Four Lands, she disappears, and it is up to her nephew Pen and his comrades to go to her rescue.",3.97,11867.0
1918,armageddon's children,Terry Brooks,Fiction,"In a futuristic world in which civilization is near total collapse, evil forces control the ruins of the former United States, killing and enslaving the survivors, until Logan Tom embarks on a mission to find a child who bears a powerful magic that couldsave the world.",4.1,608.0
1919,tsubasa 9 reservoir chronicle,CLAMP (Mangaka group),unknown,"Sakura, the princess of Clow, has a strange power that could change the world, and lives in an alternate-reality world with her childhood friend Syaoran, with whom she begins a series of journeys to other worlds.",4.28,3005.0
1920,them,Joyce Carol Oates,Fiction,The members of the Wendall family struggle for thirty years to understand the obscure forces constantly tearing at their lives and happiness.,3.71,2591.0
1921,thirteen,Richard K. Morgan,Fiction,"The subject of a failed government experiment to produce a more deadly military warrior, Carl Marsalis is a hit man who has lost his taste for killing, but when he is arrested in Miami, government officials come up with a plan to use his talents to achieve their own ends. 30,000 first printing.",3.89,7778.0
1922,"tsubasa, 11",CLAMP (Mangaka group),Amnesia,"Sakura, the princess of Clow, has a strange power that could change the world, and lives in an alternate-reality world with her childhood friend Syaoran, with whom she begins a series of journeys to other worlds.",4.28,2674.0
1923,tsubasa 12 reservoir chronicle,CLAMP (Mangaka group),Graphic novels,"Sakura, the princess of Clow, has a strange power that could change the world, and lives in an alternate-reality world with her childhood friend Syaoran, with whom she begins a series of journeys to other worlds.",4.31,2647.0
1924,candy licker,Noire,Fiction,"Candy Raye Montana gets more than she had bargained for when she signs up with the House of Homicide, the hottest recording label on the east coast, and its CEO ""Hurricane"" Jackson, a man as talented as he is cruel, who gives her a painful lesson in the price of success. By the author of G-Spot. Original. 50,000 first printing.",4.39,2527.0
1925,drop dead gorgeous,Linda Howard,Fiction,"After narrowly escaping two attempts on her life, Blair Mallory launches a personal campaign to discover her attacker's identity without the support of her fiancâe, police detective Wyatt Bloodsworth.",3.93,7100.0
1926,the devil's labyrinth,John Saul,Fiction,"""New York Times"" bestselling author Saul is at his diabolical best in this thrilling new novel of an exorcist who has learned how to reverse the mysterious art--to summon evil instead of driving it out.",3.46,2383.0
1927,feel the fear-- and do it anyway,Susan J. Jeffers,Psychology,"A psychotherapist shows how to identify the fears that are inhibiting one's life, ranging from public speaking and intimacy to aging and rejection, and how to transform frustration and helplessness into power to create success in every aspect of life, in a twentieth anniversary edition of the best-selling guide. Reissue. 50,000 first printing.",4.03,474.0
1928,the devilish pleasures of a duke,Jillian Hunter,Fiction,"Rescuing Emma Boscastle, an instructor at her London academy for young ladies, from the unwanted attentions of a scoundrel during a wedding she had organized, injured rogue Adrian Ruxley finds himself recuperating under Emma's roof and tempting the proper young lady into a seductive display of impropriety. Original.",3.98,933.0
1929,star wars republic commando,Karen Traviss,Fiction,"The Republic, aided by Delta squad and a notorious ARC trooper, take on their ultimate challenge, the elite Omega Squad, a team of warrior clone commandos possessing deadly combat skills and an arsenal of weaponry.",4.24,4900.0
1930,the manhattan hunt club,John Saul,Fiction,"The acknowledged master of psychological suspense and heart-stopping terror, New York Times bestselling author John Saul now invites you to descend to chilling new depths of darkness--and discover a secret, savage world that exists beneath our very feet. The promising future of New York City college student Jeff Converse has suddenly been shattered by a nightmarish turn of events. Falsely convicted of a brutal crime, Jeff sees his life vanishing before his eyes. But someone has other plans for Jeff, in a far deadlier place than any penitentiary. He finds himself beneath the teeming streets of Manhattan, in a hidden landscape of twisting tunnels and forgotten subterranean chambers. Here, an invisible population of the homeless, the desperate, and the mad has carved out its own shadow society. But they are not alone. The pitch-dark tunnels and abandoned subway stations are haunted by the unmistakable sounds of predators in search of game. Someone has made this forsaken civilization beneath the city a private killing ground . . . and the hunt is on. Trapped in a treacherous underground maze, cut off at every turn by ragged gangs of sinister ""gamekeepers,"" and stalked relentlessly by unseen hunters, Jeff faces overwhelming odds in the race to reach salvation and elude capture. With no weapon but his wits, and an unimaginable threat lurking around every dark corner, Jeff must somehow move heaven and earth to escape from a living hell. The Manhattan Hunt Club is the most thrilling and suspenseful novel yet from the ingenious mind of John Saul. From the Hardcover edition.",3.98,4757.0
1931,the voyage of the jerle shannara trilogy,Terry Brooks,Fiction,Chronicles the adventures of the heroes of the Four Lands as they match wits with the mysterious and deadly Ilse Witch and her minions in an epic confrontation between the forces of good and evil.,4.26,3030.0
1932,the plague dogs,Richard Adams,Fiction,"A large black mongrel named Rowf and a white terrier named Snitter escape from an animal experiment center in England's Lake District and, aided by a cunning fox, learn to live on their own, until rumors of slaughtered sheep and bubonic plague-carrying dogs transform them into fugitives. Reprint. 15,000 first printing.",3.85,5655.0
1933,the making of star wars,J. W. Rinzler,Performing Arts,"Coinciding with the thirtieth anniversary of the first Star Wars film and including long-lost interviews and photos, a work written by a Lucasfilm staff member reveals the challenges and dramas behind the movie's creation.",4.54,1148.0
1934,"star trek, the animated series",Alan Dean Foster,Star trek fiction,no description,3.42,56.0
1935,star trek logs five and six,Alan Dean Foster,Fiction,"“SPACE. THE FINAL FRONTIER . . . These are the voyages of the Starship Enterprise™.” Celebrate the fortieth anniversary of Star Trek® with the original mission logs chronicling some of the crew’s most bizarre missions and strangest encounters with alien races across the galaxy . . . where no man has gone before™. The Ambergris Element Spock and Kirk seemingly meet a watery grave on the planet Argo. But the crew learns that the two have been turned into water-breathers by a mysterious race–and the consequences could cost them their lives. The Pirates of Orion An epidemic lethal to Vulcans strikes the Enterprise. But an Orion ship steals the cure and disappears into an explosive asteroid belt. If Spock doesn’t receive the antidote, he has only three days to live. Jihad When a priceless religious object–the Soul of Skorr–is stolen from the Vedala asteroid, Kirk and Spock join the rescue party to help stave off a galaxy-wide holy war. Albatross On the planet Draymia, where justice is swift, Dr. McCoy is charged with the wanton slaughter of thousands of innocent civilians nineteen years ago. But before Kirk can save his friend, he must first find out if the hideous charges are true. The Practical Joker To escape Romulan warships, the Enterprise sails into a gaseous energy field. But Kirk soon discovers that this cloud has a mind of its own–and a very wicked sense of play. How Sharper Than a Serpent’s Tooth Tracing a mysterious probe, the Enterprise encounters mighty Kukulkan, the ancient winged serpent of Mayan-Aztec legend, who challenges them to solve a Sphinx-like puzzle . . . or die.",3.65,35.0
1936,logs seven and eight,Alan Dean Foster,Fiction,"“SPACE. THE FINAL FRONTIER . . . These are the voyages of the Starship Enterprise™.” Celebrate the fortieth anniversary of Star Trek® with the original mission logs chronicling some of the crew's most bizarre missions and strangest encounters with alien races across the galaxy . . . where no man has gone before™. The Counter-Clock Incident The Enterprise's first captain, Commodore Robert April, is aboard the starship one last time en route to his retirement ceremonies. On the way, Kirk attempts to save an alien ship headed straight for the Beta Niobe Nova. Instead, the Enterprise plunges through the heart of the nova and into an alternate universe where everything runs backward. Day is night, stars are black not white, and time flows into the past as people get younger with every breath they take. The Eye of the Beholder When the Enterprise is sent to investigate a missing starship near Lactran VII, Kirk beams down to discover the Lactrans are giant, highly intelligent slugs, who admire humans for one reason: they make lovely pets. The situation appears hopeless when the landing party is locked up as exhibits in the planet's zoo. Amazingly, Spock manages to convince the Lactrans that humans are not dumb animals and they agree to let the crew go–on one condition. Kirk and company must become interstellar big-game hunters and capture the powerful, ferocious jawanda on a remote planet.",3.69,34.0
1937,the hobbit / the lord of the rings,John Ronald Reuel Tolkien,Fiction,"Presents a box set including the complete ""Lord of the Rings"" trilogy, as well as its prequel, ""The Hobbit.""",4.59,97731.0
1938,the world according to garp,John Irving,unknown,"20th ANNIVERSARY EDITIONwith a new Afterword from the author The ""New York Times"" bestseller This is the life and times of T. S. Garp, the bastard son of Jenny Fields--a feminist leader ahead of her times. This is the life and death of a famous mother and her almost-famous son; theirs is a world of sexual extremes--even of sexual assassinations. It is a novel rich with ""lunacy and sorrow""; yet the dark, violent events of the story do not undermine a comedy both ribald and robust. In more than thirty languages, in more than forty countries--with more than ten million copies in print--this novel provides almost cheerful, even hilarious evidence of its famous last line: ""In the world according to Garp, we are all terminal cases.""",4.08,178515.0
1939,if this is a man ; and the truce,Primo Levi,History,"With the moral stamina and intellectual pose of a twentieth-century Titan, this slightly built, duitful, unassuming chemist set out systematically to remember the German hell on earth, steadfastly to think it through, and then to render it comprehensible in lucid, unpretentious prose. He was profoundly in touch with the minutest workings of the most endearing human events and with the most contempible. What has survived in Levi's writing isn't just his memory of the unbearable, but also, in THE PERIODIC TABLE and THE WRENCH, his delight in what made the world exquisite to him. He was himself a ""magically endearing man, the most delicately forceful enchanter I've ever known"" - PHILIP ROTH",4.55,10625.0
1940,the drowned and the saved,Primo Levi,Auschwitz (Poland : Concentration camp),"Shortly after completing THE DROWNED AND THE SAVED, Primo Levi committed suicide. The matter of his death was sudden, violent and unpremiditated, and there were some who argue that he killed himself because he was tormented by guilt - guilt that he had survived the horrors of Auschwitz while others, better than he, had gone to the wall. THE DROWNED AND THE SAVED is Levi's impassioned attempt to understand the 'rationale' behind the concentration camps, was completed shortly before his tragic death in 1987. THE DROWNED AND THE SAVED dispels the myth that Primo Levi forgave the Germans for what they did to his people. He didn't and couldn't forgive. He refused, however, to indulge in what he called 'the bestial vice of hatred' which is an entirely different matter. The voice that sounds in his writing is that of a reasonable man...it warns and reminds us that the unimaginable can happen again. A would-be tyrant is waiting in the wings, with 'beautiful words' on his lips. The book is constantly impressing on us the need to learn from the past, to make sense of the senseless' PAUL BAILEY",4.39,3319.0
1941,the lost continent,Bill Bryson,Cities and towns,"Bill Bryson drove 14,000 miles in search of the mythical small town of his youth. Instead he found a lookalike strip of gas stations, motels and hamburger joints; a continent lost to itself through greed, pollution and television, and lost to him because he had become a foreigner in his own country. A funny and serious view of smalltown America.",3.83,291.0
1942,the life and death of my lord gilles de rais,Robert Nye,unknown,"A recreation of the Bluebeard story which follows a French Army captain, executed in Brittany in 1440. The list of his crimes include witchcraft, heresy, sacrilege, sorcery, the evocations of demons and the practice of unnatural crime against children, ending with their murder for his delight.",3.89,64.0
1943,lincoln,Gore Vidal,Political fiction,"In the hazardous fictional terrain of his historical novels, Gore Vidal is never especially kind to American history in general, or to its icons in particular. Yet in this brilliantly realised study of Abraham Lincoln, he paints a surprising and near-heroic picture of the man who led America through four of the most divisive and dangerous years of the nation's history. Observed alternately by his loved ones, his rivals and his future assassins, Lincoln at first appears as an inept and naïve backwoods lawyer. People in this novel are not averse to turning up, getting drunk, and regaling the reader with details of Lincoln's whoring activities and his seemingly inexhaustible supply of folksy stories. Yet gradually Lincoln the towering leader of deep vision emerges in a Washington engulfed by fear, greed and the horrors of the Civil War. Lincoln's loving but mentally decomposing wife, his view from the White House on slavery and America's bloodiest war, and his own, fierce personal ambition: all are portrayed with a vibrancy and an urgency that almost belies what they have now become ? history itself.",4.2,27.0
1944,the age of extremes,Eric J. Hobsbawm,"History, Modern","""Hobsbawm divides the century into the Age of Catastrophe, 1914-1945; the Golden Age, 1947-1973; and the Landslide, 1973-1991 and moves data into an era whose revolutions have transformed us more thoroughly than in any period--Publisher's description.",4.24,324.0
1945,hitler's willing executioners,Daniel Jonah Goldhagen,Antisemitism,"Daniel Goldhagen re-visits a question which history has treated as settled, and his research leads him to the inescapble conclusion that none of the answers holds true. That question is: How could the Holocaust happen? His response is an exploration of German society and its ingrained anti-semitism that demands a fundamental revision of our thinking about the years 1933-1945. The author marshals fresh, primary evidence - including extensive testimony from the actual perpetrators - to show that the killers were ordinary Germans who were not compelled to act as they did (they knew they could refuse without retribution) yet they killed willingly and zealously.",3.68,80.0
1946,a supposedly fun thing i'll never do again,David Foster Wallace,Popular culture,"A collection of insightful and uproariously funny non-fiction by the bestselling author of INFINITE JEST - one of the most acclaimed and adventurous writers of our time. A SUPPOSEDLY FUN THING... brings together Wallace's musings on a wide range of topics, from his early days as a nationally ranked tennis player to his trip on a commercial cruiseliner. In each of these essays, Wallace's observations are as keen as they are funny. Filled with hilarious details and invigorating analyses, these essays brilliantly expose the fault line in American culture - and once again reveal David Foster Wallace's extraordinary talent and gargantuan intellect.",4.27,571.0
1947,brief interviews with hideous men,David Foster Wallace,Misogyny,"In his startling and singular new short story collection, David Foster Wallace nudges at the boundaries of fiction with inimitable wit and seductive intelligence. Among the stories are 'The Depressed Person', a dazzling and blackly humorous portrayal of a woman's mental state; 'Adult World', which reveals a woman's agonised consideration of her confusing sexual relationship with her husband; and 'Brief Interviews with Hideous Men', a dark, hilarious series of portraits of men whose fear of women renders them grotesque. Wallace's stories present a world where the bizarre and the banal are interwoven and where hideous men appear in many different guises. Thought-provoking and playful, this collection confirms David Foster Wallace as one of the most imaginative young writers around. Wallace delights in leftfield observation, mining the ironic, the surprising and the illuminating from every situation. His new collection will delight his growing number of fans, and provide a perfect introduction for new readers.",3.87,17500.0
1948,embrace,Mark Behr,Fiction,"EMBRACE is the story of the awakening of Karl De Man a thirteen-year-old student at the Berg, an exclusive academy for boys in South Africa in the 1970s. Interwoven with the storyline about Karl at school are memories from Karl's childhood and first years at the Berg, presented as an ever-growing patchwork of the many influences on his development: growing up on a game reserve in East Africa, intensely aware of landscape and wildlife; a loving and close family, but a traditional one that will never easily accept Karl's true self: being sent away to school and the formation of new friendships and relationships. But, after threats and punishments handed out after casual sexual games in the dorm, Karl falls in love. He simultaneously has secret affairs with his best friend, Dominic, who is the son of liberal parents, and his choirmaster, Jacques Cilliers. The great strength of the novel is that it places Karl's passions on a wider canvas, focusing on his raw passions and elemental drives against the landscapes of Africa. It is a staggering follow-up to Mark Behr's award-winning first novel, THE SMELL OF APPLES.",3.75,70.0
1949,the tipping point,Malcolm Gladwell,Social Science,"THE TIPPING POINT is the biography of an idea, and the idea is quite simple. It is that many of the problems we face - from crime to teenage delinquency to traffic jams - behave like epidemics. They aren't linear phenomena in the sense that they steadily and predictably change according to the level of effort brought to bear against them. They are capable of sudden and dramatic changes in direction. Years of well-intentioned intervention may have no impact at all, yet the right intervention - at just the right time - can start a cascade of change. Many of the social ills that face us today, in other words, are as inherently volatile as the epidemics that periodically sweep through the human population: little things can cause them to 'tip' at any time and if we want to understand how to confront and solve them we have to understand what those 'Tipping Points' are. In this revolutionary new study, Malcolm Gladwell explores the ramifications of this. Not simply for politicians and policy-makers, his method provides a new way of viewing everyday experience and enables us to develop strategies for everything from raising a child to running a company.",3.95,1548.0
1950,aldous huxley,Nicholas Murray,Great Britain,"The grandson of biologist T. H. Huxley, Aldous Huxley had a privileged background and was educated at Eton and Oxford despite an eye infection that left him nearly blind. Having learned braille his eyesight then improved enough for him to start writing, and by the 1920s he had become a fashionable figure, producing witty and daring novels like CROME YELLOW (1921), ANTIC HAY (1923) and POINT COUNTER POINT (1928). But it is as the author of his celebrated portrayal of a nightmare future society, BRAVE NEW WORLD (1932), that Huxley is remembered today. A truly visionary book, it was a watershed in Huxley's world-view as his later work became more and more optimistic - coinciding with his move to California and experimentation with mysticism and psychedelic drugs later in life. Nicholas Murray's brilliant new book has the greatest virtue of literary biographies: it makes you want to go out and read its subject's work all over again. A fascinating reassessment of one of the most interesting writers of the twentieth century.",3.82,82.0
1951,me talk pretty one day,David Sedaris,Education,"David Sedaris moved from New York to Paris where he attempted to learn French. His teacher, a sadist, declared that every day spent with him was like giving birth the Caesarean way! These hilarious essays were inspired by that move.",3.98,546269.0
1952,long walk to freedom,Nelson Mandela,Apartheid,"The riveting memoirs of the outstanding moral and political leader of our time, LONG WALK TO FREEDOM brilliantly recreates the drama of the experiences that helped shape Nelson Mandela's destiny. From his imprisonment on Robben Island to his remarkable journey to freedom and inauguration as President this book describes Mandela's frustrations and strength of heart as well as the overwhelming joy of freedom and power. Emotive and compelling, it completes the story of an epic life. 'Burns with the luminosity of faith in the invincible nature of human hope and dignity . . . Unforgettable' ANDRE BRINK 'Enthralling . . . Mandela emulates the few great political leaders such as Lincoln and Gandhi, who go beyond mere consensus and move out ahead of their followers to break new ground' Donald Woods in the SUNDAY TIMES",4.39,193.0
1953,dead air,Iain Banks,London (England),"Iain Banks' daring new novel opens in a loft apartment in the East End, in a former factory due to be knocked down in a few days. Ken Nott is a devoutly contrarian vaguely left wing radio shock-jock living in London. After a wedding breakfast people start dropping fruits from a balcony on to a deserted carpark ten storeys below, then they start dropping other things; an old TV that doesn't work, a blown loudspeaker, beanbags, other unwanted furniture...Then they get carried away and start dropping things that are still working, while wrecking the rest of the apartment. But mobile phones start ringing and they're told to turn on a TV, because a plane has just crashed into the World Trade Centre... At ease with the volatility of modernity, Iain Banks is also our most accomplished literary writer of narrative-driven adventure stories that never ignore the injustices and moral conundrums of the real world. His new novel, displays his trademark dark wit, buoyancy and momentum.",3.51,5080.0
1954,the kalahari typing school for men,Alexander McCall Smith,Botswana,"Ex-CID. Ex-New York. Ex-cellent' reads the sign outside the Satisfaction Guarantee Detective Agency. Cephas Buthelezi certainly talks the talk, Precious discovers, but would he have the wherewithal to deal with her current case - a man who has been attacked by ostrich rustlers, and is eager to reassess his life? Meanwhile, there are difficulties at the Tlokweng Road Speedy Motors, where one of the apprentices has discovered the Lord, problems at home with the mysterious death of a hoopoe, and romantic complications when Mma Makutsi sets up a typing school for men . . .",4.0,29045.0
1955,a likely lad,Gillian Avery,Adventure stories,"Pressured by his father to leave school for a career he doesn't want, a nineteenth-century Manchester boy runs away and gains a new perspective on his future.",4.08,12.0
1956,the love artist,Valerie Parv,Fiction,"The Love Artist by Valerie Parv released on Jul 24, 1987 is available now for purchase.",3.25,3.0
1957,lawful possession,Catherine George,Fiction,no description,3.25,1.0
1958,p.s. i love you,Valerie Parv,Fiction,no description,2.79,22.0
1959,the boy in white,Tessa Kay,Fiction,no description,2.33,2.0
1960,the sultan's bought bride,Jane Porter,Fiction,"The Sultan's Bought Bride by Jane Porter released on Aug 25, 2004 is available now for purchase.",3.72,212.0
1961,a mistress for the taking,Annie West,Fiction,"Inexperienced Marina Lucchesi must save her brother from ruin. Rich, handsome Ronan Carlisle wants to settle a score. Ronan's strategy is simple: if Marina poses as his mistress, he'll ensure that the man who made them both suffer will pay. But Marina wonders, why would Ronan, one of Australia's most eligible tycoons, want her?However, she's not in a position to refuse Ronan's offer...or resist the overwhelming physical attraction pulsing between them....",3.42,155.0
1962,sky's pride and joy,Sandra Steffen,Fiction,no description,3.0,2.0
1963,if you don't know by now,Teresa Southwick,Fiction,no description,3.06,6.0
1964,the stranger next door,Joanna Wayne,Fiction,"A beautiful woman with dangerous secrets was about to become the Randolphs neighbor. She was a vulnerable stranger who d make any red-blooded male take notice ... and Langley Randolph was no exception. Dependable, solid, and timeless, like the family ranch that had been passed down through the generations, Langley couldn t bear to see a desperate woman fighting tears. Danielle needed the strength of the stalwart rancher next door to unlock the mystery of her memories ... before a killer caught up with her first.",4.0,18.0
1965,the sheik & the princess bride,Susan Mallery,Fiction,"Prince Jefri of Bahania had just been bested ... by a woman! And not just any female, but Billie Van Horn, his gorgeous, take-no-prisoners flight instructor who was more than a match for this ultramasculine male. Well, she might be an ace in the air, but when it came to romance Billie was determined to keep both feet on the ground. So why did the sexy sheik make her feel as if she were soaring high above the clouds? She knew that when royal honor called, her high-born lover would fly from her side forever ... unless Jefri defied his destiny and chose love ...",3.95,497.0
1966,lori's little secret,Christine Rimmer,Fiction,no description,3.73,98.0
1967,burning the map,Laura Caldwell,Fiction,"Twenty-six-year-old Casey Evers, who has her life perfectly mapped out, joins her two best friends on an illuminating trip to Rome and Greece, where she unexpectedly embarks on a journey of self-discovery that causes her to question her life and her long-term relationship with her boyfriend John. Original.",3.52,1285.0
1968,slightly settled,Wendy Markham,Fiction,"Tracey Spadolini from ""Slightly Single"" is back and looking and feeling fabulous. But Tracey soon finds herself the object of desire of three men. When did life for Tracey get so complicated?",3.66,4601.0
1969,monkey business,Sarah Mlynowski,Fiction,"When strangers Kimmy, Russ, Jamie, and Layla start their MBA programs at the University of Connecticut, they all intend to focus on their studies. Instead they find themselves living together in a coed dorm majoring in monkey business. Original.",3.66,3250.0
1970,the right stuff,Merline Lovelace,Fiction,"The Right Stuff by Merline Lovelace released on Feb 23, 2004 is available now for purchase.",3.57,39.0
1971,in dark waters,Mary Burton,Fiction,"In Dark Waters by Mary Burton released on Jun 21, 2005 is available now for purchase.",3.8,91.0
1972,the bluest eyes in texas,Marilyn Pappano,Fiction,"Army hero Logan Marshall would avenge his foster parents' murders or die trying. So when P.I. Bailey Madison offered to help he couldn't refuse the sexy blond--though it meant agreeing once the killer was caught, he'd return with her family to a family he had abandoned.",3.67,31.0
1973,wild fire,Debra Cowan,Fiction,"Wild Fire by Debra Cowan released on Jan 24, 2006 is available now for purchase.",3.85,13.0
1974,the macgregors,Nora Roberts,Fiction,"In ""All the Possibilities"" a cynical politician falls for a free-spirited beauty despite their long-standing family feud, while in ""One Man's Art"" a reclusive cartoonist learns to love again with the help of a glamorous artist.",4.11,9300.0
1975,dream makers,Nora Roberts,Fiction,"Lion trainer Jo Wilder finds herself falling for Keane Prescott, a lawyer who inherits ownership of the circus; and, Megan Miller finds herself falling for David Katcherton, a sexy stranger who offers to buy her grandfather's amusement park.",3.81,966.0
1976,rebellion,Nora Roberts,Fiction,"Despite the enmity between their two countries, Brigham Langston, a handsome English lord, finds himself drawn to the beautiful Serena MacGregor, a hot-tempered Scottish hoyden, in a historical romance that serves as a prequel to Roberts's best-selling MacGregor series. Reprint.",3.91,6462.0
1977,the gunslinger,Mary McBride,Fiction,no description,4.12,15.0
1978,lady of the lake,Elizabeth Mayne,Fiction,no description,3.26,69.0
1979,the gunslinger's bride,Cheryl St. John,Fiction,"The Gunslinger's Bride by Cheryl St.John released on Aug 24, 2001 is available now for purchase.",3.66,135.0
1980,tallchief for keeps,Cait London,Fiction,"Everyone in Amen Flats is shocked when prim Elspeth Tallchief's secret lover shows up one day, drawing the attention of every single woman in town, but Elspeth knows that her other secret is even more shocking. Original.",4.22,64.0
1981,time & again,Nora Roberts,Man-woman relationships,Romance.,3.76,7434.0
1982,first impressions,Nora Roberts,Fiction,"""New York Times"" bestselling author Nora Roberts offers a holiday romance about a wealthy businessman who retreats to a rural area to get away from women. However, his gracious, persistent--and beautiful--neighbor has something he just cannot ignore. Together, they discover that love is the greatest Christmas gift of all.",3.74,31.0
1983,year's happy ending,Betty Neels,Fiction,"When cynical widower Professor Gideon Beaufort offers her a marriage of convenience, Deborah Farley's quiet existence in thrown into turmoil as she is faced with instant motherhood and united with a man who no longer believes in love. Reprint.",3.95,128.0
1984,double-cross,Meredith Fletcher,Fiction,no description,3.72,38.0
1985,father to son,Warren Murphy;Richard Sapir,Fiction,"Remo, now the Reigning Master of Sinanju, must rid the world of the best assassins, proving that the Sinanju is the best strategic weapon around, but an evil enemy, bent on revenge, waits in the shadows to fulfill a prophecy of destruction that involves the death of the Destroyer. Original.",4.1,59.0
1986,savage sun,James Axler,Fiction,"Kane, Brigid, and Grant are sent on a trans-mat jump from the Outlands to Ireland to investigate the alien Archons, but what they find are wild hinterlands populated by holocaust survivors who have reverted back to the clan system. Original.",3.87,91.0
1987,omega path,James Axler,Fiction,"Allied with fellow outcasts Brigid Baptiste and Grant, Kane journeys back in time to pre-apocalyptic New York City, where he hopes to win over a young man who could alter the future. Original.",3.87,77.0
1988,hydra's ring,James Axler,Fiction,"When a brutal Tong crime lord and his army invade a sacred pyramid in China, laying claim to a priceless artifact, Kane and his rebels are forced to go up against a four-thousand-year-old evil entity that is more powerful than anything they have ever encountered. Original.",3.88,23.0
1989,her last temptation,Leslie Kelly,Fiction,no description,3.59,110.0
1990,her little secret,Anna Adams,Fiction,no description,3.3,9.0
1991,expectant father,Melinda Curtis,Fiction,Uses humor and wit to help alleviate fears and answer questions from first time fathers-to-be.,3.63,38.0
1992,the other woman,Brenda Novak,Fiction,no description,4.11,528.0
1993,the accidental bodyguard,Ann Major,Fiction,"Lucas Broderick had been hired for the case of the century! The Moran family matriarch had died, leaving her fortune to Bethany Ann -- the ""dark horse"" granddaughter. But Bethany never arrived to claim her inheritance...and coincidentally Lucas wound up with an alluring amnesiac hiding in his house. Lucas knew the gorgeous stranger was trouble, but nothing would stop him from protecting her. Even though Chandra bore a remarkable resemblance to Bethany Ann Moran...",3.32,17.0
